incubation_day,days,simple_sentence,compound_sentence,paper_title,sha,publish_time,journal,url
6.1,"[(' 6.1 days', '.1')]",the estimated mean incubation period is 6.1 days (li et al.,"from december, 2019 to early january, 2020, the estimated mean incubation period is 6.1 days (li et al., 2020) ; however, a more recent study put the median incubation period at 3 days .","Evaluating new evidence in the early dynamics of the novel coronavirus COVID-19 outbreak in Wuhan, China with real time domestic traffic and potential asymptomatic transmissions",317943dec06b88c1c62ef0ecd832f0d644b1d417,2020-02-18,,https://doi.org/10.1101/2020.02.15.20023440
7.0,"[(' 7 days', ''), (' 3 days', '')]",the average incubation period has changed from 7 days determined in january to 3 days estimated recently,"the average incubation period has changed from 7 days determined in january to 3 days estimated recently, which means 2019-ncov infected people are more likely to show symptoms.",SEIR Transmission dynamics model of 2019 nCoV coronavirus with considering the weak infectious ability and changes in latency duration,3da1a03cb675f463b0d8e30744aa33512241dd29,2020-02-20,,https://doi.org/10.1101/2020.02.16.20023655
5.2,"[(' 5.2 days', '.2')]",the mean incubation period was 5.2 days,"based on their estimates, the mean incubation period was 5.2 days, and r 0 was 2.2, which is in line with the result estimated by riou et al.",Risk estimation and prediction by modeling the transmission of the novel coronavirus (COVID-19) in mainland China excluding Hubei province,4bc43084ccdb8d3bb704ca577473169cd1a64f9c,2020-03-06,,https://doi.org/10.1101/2020.03.01.20029629
7.5,"[(' 7.5 days', '.5')]",2019-ncov's average incubation time is 7.5 days (95% ci 5.3-19.0),"[1] , 2019-ncov's average incubation time is 7.5 days (95% ci 5.3-19.0), 95% percentiles is 12.5 days.",A model simulation study on effects of intervention measures in Wuhan COVID-19 epidemic,57e01ad2a4961cd5cc6a3733f5f8c013a8946f3c,2020-02-18,,https://doi.org/10.1101/2020.02.14.20023168
5.2,"[(' 5.2 days', '.2')]",the incubation period has been reported to be η −1 + α −1 = 5.2 days [2] in average which,"regarding epidemiological parameters, the incubation period has been reported to be η −1 + α −1 = 5.2 days [2] in average which, in our formalism, must be distributed into the exposed and asymptomatic compartments.",A mathematical model for the spatiotemporal epidemic spreading of COVID19,5b25c63b89586e93a09b5e213a20cfd9b0418b60,2020-03-23,,https://doi.org/10.1101/2020.03.21.20040022
7.0,"[(' 7 days', '')]",the average incubation period of new coronavirus infection was 7 days,"the average incubation period of new coronavirus infection was 7 days, so this article believes that the first patient infected with new coronavirus may already exist on december 1, 2019.",Prediction of New Coronavirus Infection Based on a Modified SEIR Model,5bb89950ec5a06e2b7f69b2a9c4213dda19b1ab0,2020-03-06,,https://doi.org/10.1101/2020.03.03.20030858
5.0,"[(' 5 days', '')]",we employed an seir-type transmission model [5] where the mean incubation period is 5 days,"we employed an seir-type transmission model [5] where the mean incubation period is 5 days, mean infectious period is 7 days, and the initial prevalence of the novel coronavirus (2019-ncov) infections is at 0.1% in a population of 10 million, roughly the population of wuhan.",Getting to zero quickly in the 2019-nCov epidemic with vaccines or rapid testing,5c525cc04075b7c82e52b1e80d96bb394b1a0907,2020-02-05,,https://doi.org/10.1101/2020.02.03.20020271
6.4,"[(' 6.4 days', '.4')]",we explored scenario 1 in which a mean incubation period (d1) of 6.4 days estimated by backer,"we explored scenario 1 in which a mean incubation period (d1) of 6.4 days estimated by backer, klinkenberg and wallinga (5) based on 88 cases with known travel history to or from wuhan, and a mean duration from onset of symptoms to isolation (d2) of 0.7 day estimated by authors from guangdong provincial cdc using data of cases after january 19, 2020, in a study using 153 cases confirmed by january 23, 2020.",Epidemic doubling time of the COVID-19 epidemic by Chinese province 1,5f6a410a4ba086b296100a8a5a10df59eb337c90,2020-02-06,,https://doi.org/10.1101/2020.02.05.20020750
10.0,"[(' 10 days', '')]",the average incubation period of 2019-ncov is up to 10 days.,"according to [43] , the average incubation period of 2019-ncov is up to 10 days.",How does the outbreak of 2019-nCoV spread in mainland China? A retrospective analysis of the dynamic transmission routes *,5f72fd41d7ba8d4d7de7aa1f83fc5c90ffa50b03,2020-03-06,,https://doi.org/10.1101/2020.03.01.20029645
5.0,"[(' 5 days', '')]",because the average duration of the incubation period is 5 days,"https://doi.org/10.1101/2020.03.23.20041863 doi: medrxiv preprint based on the available data of covid19, we choose = 1/5day, because the average duration of the incubation period is 5 days, and = 1/14day because the average recovery time is 14 days.",Modelling strategies to organize healthcare workforce during pandemics: application to COVID-19,63741136af88d75b21e06f0ebdc0008bdfc58b9d,2020-03-27,,https://doi.org/10.1101/2020.03.23.20041863
5.2,"[(' 5.2 days', '.2')]",given that average incubation period of covid-19 is 5.2 days ,"given that average incubation period of covid-19 is 5.2 days , we use the 5th lead of the reported cumulative case growth rate to proxy the actual cumulative case growth rate.",Which Measures are Effective in Containing COVID-19? --Empirical Research Based on Prevention and Control Cases in China,66f8cfe75dce9b250b555fe8d136cf006f55649a,2020-03-30,,https://doi.org/10.1101/2020.03.28.20046110
5.2,"[(' 5.2 days', '.2')]","the paper titled "" time-varying transmission dynamics of novel coronavirus pneumonia in china "" published in the international medical authoritative journal ""the new england journal of medicine"" revealed that the average incubation period of new coronary pneumonia is 5.2 days ; second is that the first cases reported in most cities are after january 20.","the paper titled "" time-varying transmission dynamics of novel coronavirus pneumonia in china "" published in the international medical authoritative journal ""the new england journal of medicine"" revealed that the average incubation period of new coronary pneumonia is 5.2 days ; second is that the first cases reported in most cities are after january 20.",Research on the Influence of Effective Distance Between Cities on the Cross-regional Transmission of COVID-19,6710c917f9b40e2e593c6f05b5aad788ae1eadb7,2020-03-30,,https://doi.org/10.1101/2020.03.27.20044958
5.0,"[(' 5 days', ''), (' 2 days', '')]",this temporal shift is roughly equal to the combination of the mean incubation time (≈ 5 days) and the average time from the onset of symptoms to hospitalization (≈ 2 days) [6] .,this temporal shift is roughly equal to the combination of the mean incubation time (≈ 5 days) and the average time from the onset of symptoms to hospitalization (≈ 2 days) [6] .,Scaling analysis of COVID-19 spreading based on Belgian hospitalization data,6955c93d7ccc8424d38e8fed7346e7d1a52b9422,2020-03-30,,https://doi.org/10.1101/2020.03.29.20046730
4.6,"[(' 4.6 days', '.6')]",the mean incubation period was 4.6 days,"the mean incubation period was 4.6 days, the infectious period/mean time to hospitalization was 4 days, the mean duration of non-critical hospital stay was 8 days for those not requiring critical care and 6 days for those requiring critical care, and the mean duration of critical care was 10 days (7).",Social distancing strategies for curbing the COVID-19 epidemic,79622641e002b2574af9dc7f99d4fbbe192606e6,2020-03-24,,https://doi.org/10.1101/2020.03.22.20041079
5.2,"[(' 5.2 days', '.2')]",the mean incubation period is 5.2 days [1] .,the mean incubation period is 5.2 days [1] .,Transmission Dynamics and Control Methodology of COVID-19: a Modeling Study,79afd7c409e4e270f7afd1d48f78270289def783,2020-04-01,,https://doi.org/10.1101/2020.03.29.20047118
6.4,"[(' 6.4 days', '.4'), (' 7 days', '')]",we assumed the average incubation period and average infectious period to be 6.4 days 15 and 3 or 7 days,"in particular, we assumed the average incubation period and average infectious period to be 6.4 days 15 and 3 or 7 days, respectively.","The effect of control strategies that reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China",81f08d610ed4c61197c816bdbe5f23b14670dd47,2020-03-12,,https://doi.org/10.1101/2020.03.09.20033050
5.2,"[(' 5.2 days', '.2')]","we estimated a mean incubation period of 5.2 days (95%ci:

1.8-12.4)","we estimated a mean incubation period of 5.2 days (95%ci:

1.8-12.4), with the 95th percentile of the distribution at 10.5 days.",Evolving epidemiology of novel coronavirus diseases 2019 and possible interruption of local transmission outside Hubei Province in China: a descriptive and modeling study,87b89b038b28d2ba0bcfd2203845bf15f922c1b5,2020-02-23,,https://doi.org/10.1101/2020.02.21.20026328
7.0,"[(' 7 days', '')]",in which the incubation period is exponentially distributed with mean l in the range of 3 -6 days and the infectious period is also exponentially distributed with mean z in the range of 2 to 7 days.,"we also derived the basic reproduction number by assuming a susceptible-exposed-infectious-recovery (seir) model for covid-19, in which the incubation period is exponentially distributed with mean l in the range of 3 -6 days and the infectious period is also exponentially distributed with mean z in the range of 2 to 7 days.",Title: Risk for Transportation of 2019 Novel Coronavirus (COVID-19) from Wuhan to Cities in China,957e71389292e0881dff2bbe0e87fe6bf8b2d381,2020-01-30,,https://doi.org/10.1101/2020.01.28.20019299
6.0,"[(' 6 days', '')]",and found that when the average incubation period was set to 6 days,"we simulated the days in the range of 3-9 respectively, and found that when the average incubation period was set to 6 days, it could better fit the official curve, while the other simulated values are quite different from the official curves.",Propagation analysis and prediction of the COVID-19,9856876e0f976c1535272fc84aed92d3e2834bed,2020-03-18,,https://doi.org/10.1101/2020.03.14.20036202
6.4,"[(' 6.4 days', '.4')]",the mean incubation period has been reported to be 6.4 days (3) .,"
additionally, the mean incubation period has been reported to be 6.4 days (3) .",Estimating Cases of COVID-19 from Daily Death Data in Italy,9994e6685073e8cda5485f0618351bcf83b0fa4e,2020-03-20,,https://doi.org/10.1101/2020.03.17.20037697
5.2,"[(' 5.2 days', '.2')]",the mean incubation period was 5.2 days,"the mean incubation period was 5.2 days, and the basic reproductive number (r zero) in china was 2.2 at the onset of the epidemic.",Modeling and Forecasting Trend of COVID-19 Epidemic in Iran Affiliation: Modeling and Forecasting Trend of COVID-19 Epidemic in Iran,99acac6055e7827d59606eef690b8c58bf9eccde,2020-03-20,,https://doi.org/10.1101/2020.03.17.20037671
5.0,"[(' 5 days', '')]",the model has only 3 parameters: average incubation period (known to be approximately 5 days [1,"the model has only 3 parameters: average incubation period (known to be approximately 5 days [1, 2] ) and two parameters that can be modified by applying non-pharmaceutical protective measures: the infectious-susceptible contact rate, r c , and the exclusion rate, r e .",Dynamics of COVID-19 pandemic at constant and time-dependent contact rates,9f85a1904bda3efb0c3c84f2043bd35986801912,2020-03-17,,https://doi.org/10.1101/2020.03.13.20035485
5.0,"[(' 5 days', '')]",the average incubation period was the mean value of the incubation period of non-input confirmed patients with a contact history over the previous 5 days (inclusive of the end date).,the average incubation period was the mean value of the incubation period of non-input confirmed patients with a contact history over the previous 5 days (inclusive of the end date).,Association of Population migration and Coronavirus Disease 2019 epidemic control,a09c1ad0f05bbcc256cd667ad7411e6690134370,2020-02-20,,https://doi.org/10.1101/2020.02.18.20024661
5.0,"[(' 5 days', '')]",the estimated median serial interval is shorter than the 20 preliminary estimates of the mean incubation period (approximately 5 days) 21 [3,"19

more importantly, the estimated median serial interval is shorter than the 20 preliminary estimates of the mean incubation period (approximately 5 days) 21 [3, 6] .",Title: Serial interval of novel coronavirus (COVID-19) infections Correspondence to,a1bff76ce360e8990b0a4ee2a5228a6e6e63d9c1,2020-02-13,,https://doi.org/10.1101/2020.02.03.20019497
5.2,"[(' 5.2 days', '.2'), (' 2.9 days', '.9')]","the incubation period was assumed to be erlang distributed with mean 5.2 days (16) and delay from onset-to-isolation erlang distributed with mean 2.9 days (2,15).","the incubation period was assumed to be erlang distributed with mean 5.2 days (16) and delay from onset-to-isolation erlang distributed with mean 2.9 days (2,15).",Early dynamics of transmission and control of COVID-19: a mathematical modelling study,a44334e676e43c1889d282b0f0a8365f0f1e0c52,2020-02-02,,https://doi.org/10.1101/2020.01.31.20019901
3.0,"[(' 3.0 days', '.0')]",and the average incubation period was 3.0 days.,"11 they reported that the median age was 47.0 years, 41.90% were females, 31.30% had been to wuhan and 71.80% had contacted people from wuhan, and the average incubation period was 3.0 days.","Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series",a9c58042555c0d56b8e94bc5558db0c3dd697dcc,2020-02-25,,https://doi.org/10.1101/2020.02.23.20026856
7.1,"[(' 7.10 days', '.10')]",the mean incubation period was 7.10 days (95% ci,"the mean incubation period was 7.10 days (95% ci, 6.06-8.14 d), with no statistically difference between severe and non-severe cases.","Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis Running title: Predictors of clinical prognosis of COVID-19",aafa6cdfe96a5cdaf7b7c2f04b11a5dbdd73b2df,2020-03-20,,https://doi.org/10.1101/2020.03.17.20037572
7.0,"[(' 7 days', ''), (' 14 days', '')]","13,14 and the average incubation period was 7 days,and the average hospital stay was 14 days.","according to the epidemic data before feb.1,2020,it indicated that the probability from the exposed to the infected was 1.7%, 13,14 and the average incubation period was 7 days,and the average hospital stay was 14 days.",Prediction of the Epidemic of COVID-19 Based on Quarantined Surveillance in China,ae61300f4e7a12a68baf114f199eb51940c7aad3,2020-02-29,,https://doi.org/10.1101/2020.02.27.20027169
5.2,"[(' 5.2 days', '.2')]",and the incubation period distribution to have a mean of 5.2 days (95% ci 4.1-7.0) based on 10 observations.,"[2] estimated the basic reproduction number (using a renewal equation) to be 2.2 (95% ci 1.4-3.9), the serial interval distribution to have a mean of 7.5 days (95% ci 5.5-19) based on 6 observations, and the incubation period distribution to have a mean of 5.2 days (95% ci 4.1-7.0) based on 10 observations.",Estimating the generation interval for COVID-19 based on symptom onset data,af266fac8970a7960e96630a67d91bec5dda0335,2020-03-08,,https://doi.org/10.1101/2020.03.05.20031815
5.0,"[(' 5.0 days', '.0')]",our results show the incubation mean and median of covid-19 are 5.84 and 5.0 days respectively and there is a statistical significance with the role of gender.,our results show the incubation mean and median of covid-19 are 5.84 and 5.0 days respectively and there is a statistical significance with the role of gender.,,c1ae608c7ffb926a0f50a6a34c0780983274ea74,2020-02-29,,https://doi.org/10.1101/2020.02.24.20027474
5.2,"[(' 5.2 days', '.2')]",given the same incubation period distribution with mean = 5.2 days,"therefore, given the same incubation period distribution with mean = 5.2 days, a serial interval with mean = 4.8 days is best fit by substantial presymptomatic infectiousness (mean = 20.5% [0%, 91.4%]) while a longer serial interval with mean = 7.5 days is best fit by limited presymptomatic infectiousness (mean = 0.065% [0%, 0.88%]).",Modeling the Comparative Impact of Individual Quarantine vs. Active Monitoring of Contacts for the Mitigation of COVID-19,c8c052d27aaf8015316dcd2644fa5e0b3870cea1,2020-03-08,,https://doi.org/10.1101/2020.03.05.20031088
6.0,"[(' 6 days', '')]",the average incubation period of covid-19 is around 5 to 6 days.,"based on recently published studies, the average incubation period of covid-19 is around 5 to 6 days.",Estimating Preventable COVID-19 Infections Related to Elective Outpatient Surgery in Washington State: A Quantitative Model,c9c12d121ea827de5300a44888066075e523ff58,2020-03-20,,https://doi.org/10.1101/2020.03.18.20037952
5.9,"[(' 5.9 days', '.9')]",after an average incubation period of 5.9 days [18] ,"
in the model, after an average incubation period of 5.9 days [18] , 82.1% (95%cri: 79.8-84.5) of infected people develop symptoms of any severity and become infectious, while the remainder are asymptomatic and do not transmit the infection.","ESTIMATION OF SARS-COV-2 MORTALITY DURING THE EARLY STAGES OF AN EPIDEMIC: A MODELLING STUDY IN HUBEI, CHINA AND NORTHERN ITALY A PREPRINT",ca75d7bd77975e9a3cd2c0352157b91c35c322d4,2020-03-06,,https://doi.org/10.1101/2020.03.04.20031104
5.0,"[(' 5.0 days', '.0')]",the mean incubation period was estimated at 5.0 days (95% credible interval [ci]: 4.2,"the mean incubation period was estimated at 5.0 days (95% credible interval [ci]: 4.2, 6.0) when excluding wuhan residents (n = 52) and 5.6 days (95% ci: 5.0, 6.3) when including wuhan residents (n = 158).",Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data,cbc05d14c57b91081970a232ab83bc993f998fe2,2020-01-28,,https://doi.org/10.1101/2020.01.26.20018754
3.0,"[(' 3.0 days', '.0')]",the mean incubation period is 3.0 days (guan et al.,"according to a research, the mean incubation period is 3.0 days (guan et al.",Moving-average based index to timely evaluate the current epidemic situation after COVID-19 outbreak,d14847455e1dfb4baf5f697d643485aa98052cda,2020-03-26,,https://doi.org/10.1101/2020.03.24.20027730
11.1,"[(' 11.1 days', '.1'), (' 6.4 days', '.4')]",the incubation period for wuhan travelers estimated from 2.1 to 11.1 days (the mean incubation period was estimated to be 6.4 days),"
as measured in 18 , the incubation period for wuhan travelers estimated from 2.1 to 11.1 days (the mean incubation period was estimated to be 6.4 days), and also generally the mean incubation period was estimated at 5.2 days which distributed in intervals of 4.1 to 7.0 with 95% confidence 19 .",Understanding Epidemic Data and Statistics: A case study of COVID-19,d282b79ca6f7cafe79c135b5d21101eb54312651,2020-03-18,,https://doi.org/10.1101/2020.03.15.20036418
5.1,"[(' 5.1 days', '.1')]",we estimate the mean incubation period to be 5.1 days (std.,"using detailed information on 38 cases for whom both the dates of entry to and exit from wuhan are known, we estimate the mean incubation period to be 5.1 days (std.",The effect of human mobility and control measures on the COVID-19 epidemic in China,d810f78f8850d9386abc6fdd8d652f2f85191753,2020-03-06,,https://doi.org/10.1101/2020.03.02.20026708
5.1,"[(' 5.1 days', '.1'), (' 6.5 days', '.5')]",the average length of incubation was set to 1/σ = 5.1 days and the average length of infections was set to 1/γ = 6.5 days.,the average length of incubation was set to 1/σ = 5.1 days and the average length of infections was set to 1/γ = 6.5 days.,"Healthcare worker absenteeism, child care costs, and COVID-19 school closures: a simulation analysis",d83f238ec5aeaf6f08d20c4416c1ca9f631f698e,2020-03-23,,https://doi.org/10.1101/2020.03.19.20039404
11.0,"[(' 11 days', '')]",they also estimated mean incubation and contagious periods of 5 and 11 days,"they also estimated mean incubation and contagious periods of 5 and 11 days, respectively.",,e1200121af466e437f3cf17aa10654b7725edb07,2020-03-20,,https://doi.org/10.1101/2020.03.16.20036939
5.01,"[(' 5.01 days', '.01')]","
results of our review for human coronavirus include the following mean values: an incubation period of 5.01 days","
results of our review for human coronavirus include the following mean values: an incubation period of 5.01 days, an infectious period of 15.2 days, a hospitalization period of 4.96 days, a hospitalized proportion of 0.188, a case fatality proportion of 0.147, and an r 0 of 3.7.

the model diagram ( fig.1) illustrates the progression of influenza-like illness (ili) in a human population of a hypothetical small city containing 10,000 individuals.","Epidemiological parameter review and comparative dynamics of influenza, respiratory syncytial virus, rhinovirus, human coronavirus, and adenovirus",e3f19f88e7e3d1279b4d93e4db041e44a8d35dbb,2020-02-05,,https://doi.org/10.1101/2020.02.04.20020404
6.4,"[(' 6.4 days', '.4')]",the incubation period appears to be highly variable with a mean of τ inc ≈ 6.4 days [17] .,"for coronavirus infections, the incubation period appears to be highly variable with a mean of τ inc ≈ 6.4 days [17] .",Why estimating population-based case fatality rates during epidemics may be misleading,e686d1ce1540026ecb100c09f99ed091c139b92c,2020-03-30,,https://doi.org/10.1101/2020.03.26.20044693
6.4,"[(' 6.4 days', '.4')]",the mean incubation period is 6.4 days (95% 175 ci 5.3 to 7.6) and the 5th and 95th percentile of the distribution was 0.97 and 13.10,"the mean incubation period is 6.4 days (95% 175 ci 5.3 to 7.6) and the 5th and 95th percentile of the distribution was 0.97 and 13.10, 176 respectively ( figure 3 -a).","Title: A descriptive study of the impact of diseases control and prevention on the epidemics 1 dynamics and clinical features of SARS-CoV-2 outbreak in Shanghai, lessons learned for",eb8ac60527db35b10881cb4fd86b8a6e21983d02,2020-02-23,,https://doi.org/10.1101/2020.02.19.20025031
5.2,"[(' 5.2 days', '.2')]",assuming an incubation period with a mean of 5.2 days from a separate study of early covid-19 cases,"assuming an incubation period with a mean of 5.2 days from a separate study of early covid-19 cases, 2 we inferred that infectiousness started from 2.5 days before symptom onset and reached its peak at 0.6 days before symptom onset (figure 1b) .",Temporal dynamics in viral shedding and transmissibility of COVID-19,ef69fe3596cf5422a4dce8d21e2892687b1241e7,2020-03-18,,https://doi.org/10.1101/2020.03.15.20036707
20.0,"[(' 20 days', '')]",we found that the mean incubation period of covid-19 was 8.08 (5.06) days and ranged from 1 to 20 days.,"
in our analysis of 44 patients with clear contact history, we found that the mean incubation period of covid-19 was 8.08 (5.06) days and ranged from 1 to 20 days.",participated in study design,f3ff1ecae96700f41b83d2a034a3a959428388b0,2020-02-23,,https://doi.org/10.1101/2020.02.19.20025023
5.0,"[(' 5 days', '')]",considering that the mean incubation period of covid-19 approximately 5 days,"considering that the mean incubation period of covid-19 approximately 5 days, the impact of reduced travel volumes would start to be interpretable from day 58 (28 january 2020).",Assessing the impact of reduced travel on exportation dynamics of novel coronavirus infection (COVID-19),f4d76fb8161f4cee6987d7d412798e1276348858,2020-02-17,,https://doi.org/10.1101/2020.02.14.20022897
7.0,"[(' 7 days', '')]",the incubation days of covid-19 in wuhan city is 5-10 days with a mean of 7 days (fan et al.,"the incubation days of covid-19 in wuhan city is 5-10 days with a mean of 7 days (fan et al., 2020).",Modelling the situation of COVID-19 and effects of different containment strategies in China with dynamic differential equations and parameters estimation,f4fecacaff35a0498dee4231408c6b9aa049c51b,2020-03-13,,https://doi.org/10.1101/2020.03.09.20033498
3.0,"[(' 3 days', ''), (' 4 days', '')]",we adopt a relatively short mean incubation period as 3 days and mean infectious period as 4 days .,"considering the possibility of asymptomatic infections, we adopt a relatively short mean incubation period as 3 days and mean infectious period as 4 days .","Short-term forecasts and long-term mitigation evaluations for the COVID-19 epidemic in Hubei Province, China",f7670779a419e53a1ac3fa2ae2471473f50ec42e,2020-03-30,,https://doi.org/10.1101/2020.03.27.20045625
4.9,"[(' 4.9 days', '.9')]","
we estimated the mean incubation period of covid-19 infections to be 4.9 days","
we estimated the mean incubation period of covid-19 infections to be 4.9 days, which was calculated based on a big sample size with valid data.",Transmission of corona virus disease 2019 during the incubation period may lead to a quarantine loophole,fd96fc1859201e13e35526c188e022fa6e335327,2020-03-08,,https://doi.org/10.1101/2020.03.06.20031955
5.2,"[(' 5.2 days', '.2')]","
the parameters were estimated based on the following facts and assumptions:

a) the mean incubation period was 5.2 days (95% confidence interval [ci]: 4.1-7.0) [3] .","
the parameters were estimated based on the following facts and assumptions:

a) the mean incubation period was 5.2 days (95% confidence interval [ci]: 4.1-7.0) [3] .",A mathematical model for simulating the phase-based transmissibility of a novel coronavirus,018269476cd191365d6b8bed046078aea07c8c01,2020-02-28,Infect Dis Poverty,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7047374/
5.0,"[(' 5.0 days', '.0')]",the mean incubation period has been estimated to be about 5.0 days [3] .,"using a sophisticated statistical model with doubly intervalcensored likelihood and right truncation with an exponential growth of cases, the mean incubation period has been estimated to be about 5.0 days [3] .",Backcalculating the Incidence of Infection with COVID-19 on the Diamond Princess,0938d2fb07611897abf38cea727ddbeea77b73d9,2020,J Clin Med,https://doi.org/10.3390/jcm9030657
3.0,"[(' 3 days', ''), (' 24 days', '')]","a study on 1,099 cases demonstrates that the incubation period was 3 days on average and ranged from 0 to 24 days [8] .","however, a study on 1,099 cases demonstrates that the incubation period was 3 days on average and ranged from 0 to 24 days [8] .",,0eadf5a901c0d89fad2c202990056556be103e12,2020-03-15,Int J Biol Sci,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098028/
